Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20752.32828,22427.99324,23482.91108,25023.38142,26784.59796,27191.13601,27182.28175,28716.89775,28741.84795,28654.44014,30746.68472,32179.94073,31988.18936,32654.42589,35653.97448,36265.53038,37361.93704,39074.48384,40054.63947,35167.53132,34227.82873,35778.4918,34788.25121,36931.05721,36844.05306,37341.12484,37581.77852,38868.33392,40549.61082,40144.64744,30873.66678,41195.97452,48750.31601,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.109749,1831.922438,1791.320569,1783.640364,1809.209365,1880.418744,1967.383613,2035.666497,2045.279694,2079.812745,2145.485579,2217.212239,2280.981563,2341.188831,2474.295998,2640.374006,2827.029835,3015.198092,3126.183907,3084.84736,3194.063183,3299.653871,3215.019258,3340.324099,3478.693677,3507.306761,3601.460599,3647.039286,3736.525945,3788.413507,3637.839025,3871.098505,4184.836016,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.116265,970.6451147,971.8110235,1075.671373,1120.893128,1287.0644,1336.210339,1575.316779,1771.197985,1749.936995,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2110.239384,2168.133765,2078.595086,1673.144189,,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.271261,1784.583403,1822.205778,1798.159704,1788.336022,1816.414403,1885.846277,1949.543719,1988.287254,1994.646487,2056.772802,2152.243703,2324.776072,2432.785419,2620.90797,2781.188855,2937.202967,3091.49621,3256.189497,3379.31319,3553.158352,3700.449324,3802.91446,3952.812625,4145.203182,4080.289288,4007.160238,4054.572453,4166.125945,4270.578573,4182.709689,4432.453117,4802.946164,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283.170843,3315.70892,3091.201342,2330.662325,2336.379068,2654.402791,2968.586576,3133.186154,3210.082309,3220.724746,3285.953416,3388.148688,3782.892225,3839.572827,4223.637787,4835.669522,5364.437662,6056.779188,6615.114983,6471.284879,6586.465819,6700.1141,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7043.95536,6882.279123,6367.437317,6523.463613,6976.006469,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.234816,1908.935772,1823.137453,2057.278867,2289.68406,2665.546607,2979.820408,2717.138995,3021.028788,3471.646616,3861.300936,4300.827794,4751.757727,5000.336699,5427.855813,5865.291354,6566.549325,7284.990429,8228.375437,8812.739797,9627.076973,10207.72477,10526.23881,10570.97316,11259.30368,11658.83071,12078.78426,12770.96642,13498.15799,14618.30061,14437.17307,16262.66345,19496.21485,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6707.635296,7299.54005,7646.285127,7839.381391,8021.668015,8204.948863,8532.596999,8855.226286,9235.630099,9344.298607,9971.447442,10137.12073,10107.56751,10509.74483,11530.50054,12249.25326,13027.39902,13597.02476,14247.23631,14024.56076,14504.13216,15052.72272,15945.53171,15887.90642,15635.07838,14156.87446,13725.567,14350.10269,14783.29996,14981.03665,14234.23103,15206.51594,16968.74935,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86852.68447,85681.69886,85950.19452,84807.09131,88387.65253,92124.42734,93898.17844,96815.93874,92308.65444,90839.63316,97390.29906,95748.90685,94688.14387,100101.5581,107548.4012,108491.2949,107345.5157,94896.5016,83865.411,69931.73202,67759.82926,72666.74545,74853.5751,75877.99796,78859.08912,69705.70486,68853.81977,71182.37071,73270.67158,74826.51842,71458.63852,77272.99942,88488.98461,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7183.583826,7990.188004,8699.39508,9506.505431,10138.68165,9925.129895,10531.84582,11444.47406,11880.48063,11506.69888,11542.986,11159.32992,9990.720222,10974.32417,12162.33747,13513.67029,14896.73354,16510.44824,17336.93282,16249.73013,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23294.09868,23007.83659,20797.72595,23834.47312,26530.32312,
